año,pais,c.poblacion,pibpc,desempleo,expect.vida,acc.electricidad
2002,Costa Rica,1.69774908835068,4021.42536130228,6.33,77.983,98.509188
2002,United States,0.927797485710314,37997.7596573051,5.78,76.9365853658537,100.0
2002,Mexico,1.52045522318023,7650.93186425866,3.0,74.106,97.897085
2002,Canada,1.08744792718674,24255.3385818322,7.66,79.5307317073171,100.0
2002,Bolivia,1.75107228754869,888.198576030752,2.49,63.306,63.996855
2002,"Venezuela, RB",1.79537122177653,3667.20019363107,16.17,72.662,99.8
2002,Paraguay,1.42830817376899,1361.24928059287,9.39,70.025,91.666443
2002,Uruguay,0.166541088046771,4115.15461366223,16.65,75.54,97.8016662597656
2002,Ecuador,1.73709315382378,2184.209243808,4.899,73.613,94.2339706420898
2002,Peru,1.17608515721159,2003.97108061855,4.84,71.661,74.382688
2002,Chile,1.08792963607244,4479.17504395379,10.17,77.445,97.2666854858398
2002,Argentina,1.07353834961783,2579.48876933284,19.59,74.408,96.0960006713867
2002,Brazil,1.26284153622856,2824.71539582671,10.64,70.41,96.652996
2002,Colombia,1.53486691614177,2421.16210341989,15.63,71.939,94.8810424804688
2003,Costa Rica,1.58793253810516,4123.5064871039,6.56,78.072,98.695902
2003,United States,0.859481712840946,39490.2749557007,5.99,77.0365853658537,100.0
2003,Mexico,1.48740053113001,7120.37212084792,3.46,74.274,97.3593902587891
2003,Canada,0.901372739095955,28300.4630963791,7.57,79.7151219512195,100.0
2003,Bolivia,1.74628939852943,892.355380474993,2.533,63.635,72.3
2003,"Venezuela, RB",1.7651559616598,3243.36880476351,16.78,71.94,95.7
2003,Paraguay,1.25459291928333,1436.76490433294,6.81,70.297,92.558399
2003,Uruguay,0.113683038515289,3638.94354770831,16.66,75.785,97.8757781982422
2003,Ecuador,1.7486932014909,2438.34368429156,5.66,73.975,94.973044
2003,Peru,1.05113533724533,2126.13782387391,4.15,72.217,74.380966
2003,Chile,1.04791320216262,4824.22054120463,9.77,77.387,98.782325
2003,Argentina,1.03236085902218,3333.15290388997,15.36,74.08,96.2979507446289
